Time,Temperature,Pressure,Sound,Light,Pressure,Humidity,Comment
s,°C,kPa,dBA,lx,kPa,%RH,

301.44,21.2,101.6,40.0,1000,100.37,47.7,
302.4,21.2,101.6,40.0,764,100.38,47.6,
303.36,21.2,101.6,40.0,478,100.35,47.5,
304.32,21.2,101.6,40.0,283,100.37,47.3,
305.28,21.2,101.6,40.0,610,100.37,47.2,
306.24,21.2,101.6,72.1,900,100.34,47.1,
307.2,21.3,101.6,68.5,1000,100.40,46.8,
308.16,21.3,101.6,66.4,1000,100.37,46.7,
309.12,21.3,101.6,40.0,1000,100.37,46.6,
310.08,21.3,101.6,66.0,1000,100.37,46.5,
311.04,21.3,101.6,73.0,863,100.36,46.5,
312,21.3,101.6,69.3,778,100.35,46.4,
312.96,21.3,101.6,42.1,243,100.35,46.4,
313.92,21.4,101.8,76.1,134,100.38,46.3,
314.88,21.4,101.8,78.0,109,100.35,46.2,
315.84,21.4,101.8,60.2,97,100.39,46.2,
316.8,21.4,101.8,58.1,676,100.36,46.1,
317.76,21.4,101.8,72.9,823,100.37,46.0,
318.72,21.5,101.8,80.7,702,100.38,45.8,
319.68,21.5,101.8,88.1,648,100.35,45.6,
320.64,21.5,101.8,86.6,640,100.36,45.4,
321.6,21.5,101.8,84.3,635,100.37,45.3,
322.56,21.5,101.8,86.5,638,100.37,45.3,
323.52,21.5,101.8,84.1,597,100.39,45.2,
324.48,21.5,101.8,87.1,603,100.37,45.2,
325.44,21.5,101.8,85.7,587,100.36,45.2,
326.4,21.6,101.8,86.4,582,100.37,45.2,
327.36,21.6,101.8,86.5,593,100.39,45.1,
328.32,21.6,101.8,87.3,599,100.35,45.1,
329.28,21.6,101.8,86.5,608,100.38,45.1,
330.24,21.6,101.8,87.5,620,100.36,45.0,
331.2,21.6,101.8,87.7,601,100.35,45.0,
332.16,21.6,101.8,85.9,619,100.40,45.0,
333.12,21.6,101.8,84.6,622,100.38,44.9,
334.08,21.6,101.8,85.7,623,100.38,44.9,
335.04,21.6,101.8,83.5,619,100.39,44.9,
336,21.6,101.8,84.9,620,100.38,44.9,
336.96,21.7,101.8,84.8,613,100.35,44.9,
337.92,21.7,101.8,85.6,464,100.39,44.8,
338.88,21.7,101.8,85.4,532,100.34,44.8,
339.84,21.7,101.8,85.7,573,100.38,44.8,
340.8,21.7,101.8,86.0,588,100.39,44.8,
341.76,21.7,102.0,89.0,597,100.37,44.8,
342.72,21.7,101.8,82.0,600,100.34,44.8,
343.68,21.7,102.0,86.6,620,100.34,44.7,
344.64,21.7,102.0,83.3,624,100.37,44.7,
345.6,21.7,102.0,85.3,626,100.36,44.7,
346.56,21.7,102.0,91.9,598,100.36,44.7,
347.52,21.7,102.0,87.2,585,100.37,44.6,
348.48,21.7,102.0,89.0,592,100.38,44.6,
349.44,21.7,102.0,87.9,580,100.32,44.5,
350.4,21.7,102.0,85.6,591,100.34,44.5,
351.36,21.7,102.0,87.6,598,100.36,44.5,
352.32,21.7,102.0,86.2,598,100.35,44.4,
353.28,21.7,102.0,92.1,602,100.38,44.4,
354.24,21.7,102.0,88.8,613,100.35,44.4,
355.2,21.7,102.0,87.5,612,100.38,44.3,
356.16,21.7,102.0,90.1,612,100.35,44.3,
357.12,21.7,102.0,90.6,607,100.36,44.3,
358.08,21.7,102.0,87.4,617,100.40,44.3,
359.04,21.7,102.0,88.4,620,100.38,44.2,
360,21.8,102.0,89.4,617,100.35,44.0,
360.96,21.8,102.0,91.1,614,100.36,43.8,
